<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.11.13	1.24359	1.24917	1.24310	1.24606	99011	0	1
2014.11.14	1.24606	1.25462	1.23988	1.25215	107065	0	1
2014.11.16	1.25204	1.25478	1.25134	1.25243	6696	0	3
2014.11.17	1.25243	1.25771	1.24432	1.24641	93786	0	1
2014.11.18	1.24640	1.25449	1.24602	1.25221	73769	0	1
2014.11.19	1.25227	1.25991	1.25116	1.25362	59329	0	1
2014.11.20	1.25363	1.25746	1.25040	1.25456	83379	0	1
2014.11.21	1.25458	1.25675	1.23747	1.23892	75907	0	1
2014.11.23	1.23623	1.23751	1.23623	1.23714	3379	2904550000	7
2014.11.24	1.23715	1.24444	1.23715	1.24336	55613	19106285000	1
2014.11.25	1.24341	1.24865	1.24015	1.24788	59723	193500000	1
2014.11.26	1.24788	1.25310	1.24429	1.25038	68920	20000000	1
2014.11.27	1.25039	1.25233	1.24562	1.24590	36397	0	3
2014.11.28	1.24591	1.24897	1.24259	1.24498	54910	0	8
2014.11.30	1.24613	1.24616	1.24315	1.24364	2855	0	4
2014.12.01	1.24363	1.25062	1.24189	1.24694	60748	0	3
2014.12.02	1.24691	1.24757	1.23765	1.23873	54757	0	3
2014.12.03	1.23866	1.23904	1.23008	1.23138	54088	0	3
2014.12.04	1.23106	1.24561	1.22794	1.23851	59955	0	3
2014.12.05	1.23851	1.23925	1.22707	1.22844	54645	0	1
2014.12.07	1.22828	1.23026	1.22795	1.22936	3500	4134776000	2
2014.12.08	1.22935	1.23435	1.22472	1.23146	61760	87213616900	1
2014.12.09	1.23148	1.24476	1.22920	1.23877	72106	101601167000	1
2014.12.10	1.23877	1.24865	1.23619	1.24799	70803	95114933900	1
2014.12.11	1.24799	1.24949	1.23700	1.23929	66187	77669315000	1
2014.12.12	1.23929	1.24850	1.23842	1.24600	61079	62515130000	1
2014.12.14	1.24731	1.24773	1.24565	1.24636	5108	5291024000	2
2014.12.15	1.24636	1.24785	1.24144	1.24399	69015	100421853000	1
2014.12.16	1.24399	1.25696	1.24353	1.25106	77619	98360153000	1
2014.12.17	1.25104	1.25154	1.23204	1.23366	73868	105440094000	1
2014.12.18	1.23365	1.23527	1.22656	1.22881	68534	91321251000	1
2014.12.19	1.22879	1.23019	1.22200	1.22224	57582	74828409000	1
2014.12.21	1.22230	1.22261	1.22197	1.22244	8931	9781498000	1
2014.12.22	1.22244	1.22723	1.22164	1.22230	171565	274142847000	1
2014.12.23	1.22230	1.22454	1.21644	1.21749	155329	255737674000	1
2014.12.24	1.21749	1.22199	1.21693	1.21891	109906	153258587000	1
2014.12.26	1.22085	1.22108	1.21684	1.21773	76436	85910978000	1
