<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.18	1215.01	1217.41	1201.77	1202.99	118392	98963329	24
2017.01.19	1202.94	1206.41	1195.79	1203.62	153306	124875457	24
2017.01.20	1203.59	1214.87	1198.53	1209.94	143909	108682977	24
2017.01.22	1210.13	1215.66	1210.11	1215.38	5218	4591415	24
2017.01.23	1215.40	1219.58	1209.19	1217.32	138312	105385507	24
2017.01.24	1217.28	1218.47	1206.52	1209.12	99390	80743948	24
2017.01.25	1209.16	1209.73	1193.22	1200.90	108581	92579750	24
2017.01.26	1200.95	1202.52	1184.31	1188.25	119419	99047959	24
2017.01.27	1188.24	1191.59	1180.48	1191.49	122766	111633991	24
2017.01.29	1192.93	1194.52	1190.98	1194.04	4524	3159865	24
2017.01.30	1193.96	1199.33	1188.20	1196.57	139757	109842128	24
2017.01.31	1196.62	1215.23	1196.03	1211.54	163723	133199599	24
2017.02.01	1211.49	1212.26	1198.10	1209.71	165188	143862496	24
2017.02.02	1209.67	1225.21	1209.56	1214.61	174890	128077361	24
2017.02.03	1214.66	1221.31	1207.00	1219.95	139637	113355181	24
2017.02.05	1220.76	1224.74	1219.11	1220.83	4494	3470819	24
2017.02.06	1220.83	1235.55	1220.03	1233.34	146041	121298491	24
2017.02.07	1233.40	1235.71	1227.68	1232.04	139662	129711984	24
2017.02.08	1232.01	1244.64	1229.99	1239.81	144651	129470008	24
2017.02.09	1239.79	1244.44	1225.15	1226.50	132927	123428896	24
2017.02.10	1226.51	1237.04	1221.57	1233.68	130844	112016185	24
2017.02.12	1231.66	1231.78	1228.67	1230.17	2740	2690657	26
2017.02.13	1230.15	1232.22	1219.26	1226.12	107419	101741274	24
2017.02.14	1226.18	1234.42	1221.84	1228.37	120434	105881097	24
2017.02.15	1228.40	1233.92	1216.64	1232.94	99066	86014123	24
2017.02.16	1232.89	1242.30	1232.07	1238.42	113757	92422576	24
2017.02.17	1238.37	1243.71	1234.24	1234.83	97766	77839065	24
2017.02.19	1235.71	1238.09	1235.21	1236.11	2357	2243918	27
2017.02.20	1236.13	1238.89	1232.70	1237.01	53525	47042667	24
2017.02.21	1237.06	1238.75	1226.04	1234.70	86742	70993726	24
2017.02.22	1234.70	1240.54	1231.14	1236.83	105517	92046520	24
2017.02.23	1236.83	1251.03	1235.69	1249.12	100670	64849682	24
2017.02.24	1249.22	1260.05	1247.83	1256.98	80294	60780775	24
2017.02.26	1256.62	1256.65	1254.93	1255.81	2262	1759266	24
2017.02.27	1255.81	1263.79	1250.91	1253.32	89882	72627730	24
2017.02.28	1253.32	1258.32	1245.66	1245.93	84207	53367378	24
2017.03.01	1245.98	1250.57	1236.86	1247.18	133634	84064516	24
2017.03.02	1247.12	1247.96	1230.93	1235.24	85641	55869918	24
2017.03.03	1235.25	1236.21	1222.84	1234.42	94911	61859336	24
2017.03.05	1232.88	1236.76	1232.62	1236.75	2725	1957634	24
2017.03.06	1236.74	1236.75	1224.81	1225.99	77367	51547652	24
2017.03.07	1225.90	1227.12	1214.12	1216.08	72740	48409589	24
2017.03.08	1216.11	1218.49	1206.59	1208.29	74060	47133239	24
2017.03.09	1208.29	1208.92	1198.71	1199.72	95848	62667129	24
2017.03.10	1199.68	1206.25	1194.91	1204.43	98557	66394343	24
2017.03.12	1205.23	1207.17	1204.56	1205.94	2590	1699154	24
2017.03.13	1205.95	1211.11	1201.23	1202.17	67833	45294482	24
2017.03.14	1202.22	1207.53	1197.23	1200.32	74829	49121273	24
2017.03.15	1200.36	1221.97	1197.47	1220.38	89388	57632783	24
2017.03.16	1220.39	1233.67	1219.97	1226.28	81317	47334679	24
2017.03.17	1226.28	1231.60	1224.42	1229.25	63611	39859482	24
2017.03.19	1229.35	1231.20	1229.29	1231.20	2535	1582314	24
2017.03.20	1231.20	1235.45	1230.03	1234.58	56627	33721047	24
2017.03.21	1234.58	1247.53	1226.82	1245.96	84036	48973795	24
2017.03.22	1245.98	1251.23	1243.89	1245.93	91732	54286866	24
2017.03.23	1246.00	1253.22	1242.71	1245.56	86554	52121401	24
2017.03.24	1245.55	1251.77	1240.92	1245.57	73055	44077742	24
2017.03.26	1248.27	1254.02	1247.28	1252.50	3163	1931122	29
2017.03.27	1252.59	1260.97	1251.47	1253.94	80136	46770576	24
2017.03.28	1253.93	1258.33	1247.61	1250.92	80527	44951894	24
2017.03.29	1250.98	1254.57	1247.25	1253.00	77363	48534846	24
2017.03.30	1253.04	1253.66	1242.32	1243.49	69747	41716660	24
2017.03.31	1243.49	1250.50	1239.61	1248.96	68314	40377523	24
2017.04.02	1248.43	1249.49	1247.48	1249.24	1381	879701	29
2017.04.03	1249.29	1255.13	1244.41	1254.45	64154	35162683	24
2017.04.04	1254.45	1261.22	1253.95	1255.56	65633	33711235	24
2017.04.05	1255.54	1257.46	1243.65	1255.99	86994	49482938	24
2017.04.06	1255.99	1258.82	1249.72	1251.45	72663	40372767	24
2017.04.07	1251.51	1270.83	1250.52	1254.30	126030	65426269	24
2017.04.09	1253.99	1255.17	1253.33	1254.35	1622	973737	24
2017.04.10	1254.35	1257.01	1247.08	1255.73	74666	43457044	24
2017.04.11	1255.77	1275.10	1253.00	1274.51	92345	52297738	24
2017.04.12	1274.55	1286.62	1271.82	1286.39	92119	51448386	24
2017.04.13	1286.39	1288.54	1281.78	1287.44	79112	45282768	24
2017.04.16	1292.14	1294.29	1290.39	1293.42	2874	1676888	35
2017.04.17	1293.42	1295.45	1281.31	1283.98	66234	38924967	24
2017.04.18	1284.06	1292.24	1278.90	1288.81	83163	46126905	24
2017.04.19	1288.83	1289.81	1273.98	1278.44	78514	42940672	24
2017.04.20	1278.44	1283.36	1276.58	1281.18	80515	42385990	24
2017.04.21	1281.20	1288.18	1278.42	1284.29	84500	46670869	24
2017.04.23	1268.10	1273.35	1265.40	1269.09	7337	4844079	24
2017.04.24	1269.05	1277.34	1266.61	1275.75	85476	46461805	24
2017.04.25	1275.75	1278.05	1261.56	1263.44	77036	45352896	24
2017.04.26	1263.44	1270.54	1260.00	1268.19	83056	49259616	24
2017.04.27	1268.19	1268.39	1261.12	1264.10	73560	42136305	24
2017.04.28	1264.10	1268.46	1263.26	1267.99	60004	34122111	24
2017.04.30	1268.36	1271.15	1268.21	1270.63	816	446133	24
2017.05.01	1270.62	1271.02	1254.15	1256.28	54973	32510289	24
2017.05.02	1256.27	1257.70	1251.92	1256.30	59005	34320836	24
2017.05.03	1256.31	1256.87	1235.81	1238.06	71342	44717809	24
2017.05.04	1238.05	1241.22	1225.68	1227.92	76535	48159437	24
2017.05.05	1228.01	1235.51	1226.01	1227.56	82004	49715180	24
2017.05.07	1225.03	1227.42	1224.76	1227.37	2443	1614209	24
2017.05.08	1227.36	1236.50	1225.16	1226.43	67855	39723514	24
2017.05.09	1226.43	1228.54	1214.23	1223.69	69263	41923416	24
2017.05.10	1223.65	1225.58	1217.51	1218.78	63128	37295761	24
2017.05.11	1218.78	1227.65	1216.92	1225.08	63953	37918310	24
2017.05.12	1225.05	1231.69	1224.36	1228.48	58950	36276617	24
2017.05.14	1229.53	1230.45	1228.48	1229.15	1177	708672	24
2017.05.15	1229.14	1237.27	1226.90	1230.98	60406	36204962	24
2017.05.16	1231.00	1239.05	1230.36	1237.94	60278	35120265	24
2017.05.17	1237.87	1263.07	1237.39	1261.30	102607	58973072	24
2017.05.18	1261.35	1265.00	1245.96	1246.89	121727	74420747	24
2017.05.19	1246.89	1256.33	1246.81	1255.33	74412	46635618	24
2017.05.21	1256.01	1257.45	1254.59	1257.03	2025	1384002	24
2017.05.22	1257.10	1262.48	1251.74	1261.44	60670	35184893	24
2017.05.23	1261.44	1263.72	1249.92	1252.15	79134	45658964	24
2017.05.24	1252.16	1258.87	1247.85	1257.35	74797	45394709	24
2017.05.25	1257.39	1259.58	1253.77	1255.81	71838	41195564	24
2017.05.26	1255.95	1269.39	1253.12	1266.94	70544	41707677	24
2017.05.28	1266.59	1269.10	1266.59	1267.58	1327	866194	24
2017.05.29	1267.57	1268.66	1264.94	1266.97	28055	14102243	24
2017.05.30	1266.96	1270.41	1259.31	1261.65	57970	34661266	24
2017.05.31	1261.65	1274.08	1259.51	1269.00	62224	33054861	24
2017.06.01	1269.01	1270.24	1261.45	1265.73	60336	36502418	24
2017.06.02	1265.73	1279.40	1258.93	1278.56	68443	32953035	24
2017.06.04	1278.63	1280.55	1278.63	1280.55	1019	0	24
2017.06.05	1280.55	1283.34	1277.70	1279.81	39103	0	24
2017.06.06	1279.82	1296.01	1279.61	1294.02	59991	0	24
2017.06.07	1294.05	1294.19	1282.63	1287.09	60437	0	24
2017.06.08	1287.09	1288.85	1271.29	1277.63	66115	0	24
2017.06.09	1277.63	1280.09	1266.46	1266.60	49793	0	24
2017.06.11	1266.24	1267.29	1266.13	1266.71	877	0	38
2017.06.12	1266.74	1270.26	1263.58	1265.31	62367	0	24
2017.06.13	1265.31	1268.87	1260.37	1266.62	46282	0	24
2017.06.14	1266.62	1269.83	1264.77	1265.44	20753	0	24
2017.06.15	1264.98	1266.08	1251.46	1254.60	54790	0	24
2017.06.16	1254.58	1255.01	1251.86	1252.13	7987	0	24
2017.06.18	1253.68	1255.28	1253.25	1254.86	564	0	28
2017.06.19	1254.86	1255.58	1243.03	1243.77	47248	0	24
2017.06.20	1243.80	1248.04	1241.98	1244.68	44766	0	24
2017.06.21	1244.68	1247.76	1240.78	1246.57	50181	0	24
2017.06.22	1246.63	1252.19	1246.62	1252.10	6616	0	24
2017.06.23	1252.12	1256.76	1249.76	1256.61	24361	0	24
2017.06.25	1257.70	1258.03	1256.87	1256.99	696	0	26
2017.06.26	1256.97	1257.90	1252.82	1252.82	15467	0	24
2017.06.27	1252.41	1253.06	1245.64	1248.22	38288	0	24
2017.06.28	1248.22	1254.64	1247.83	1250.45	66685	0	24
2017.06.29	1250.45	1253.11	1239.75	1246.49	63936	0	24
2017.06.30	1246.48	1248.15	1239.77	1241.43	68450	0	24
2017.07.02	1241.47	1242.63	1241.42	1241.62	565	0	29
2017.07.03	1241.62	1241.96	1219.36	1219.52	60404	0	24
2017.07.05	1220.00	1227.60	1217.38	1227.20	34881	0	24
2017.07.06	1227.20	1228.34	1222.45	1224.81	56680	0	24
2017.07.07	1224.91	1226.08	1209.21	1209.21	17885	0	24
2017.07.09	1212.98	1213.72	1211.43	1212.97	1192	0	25
2017.07.10	1212.97	1214.78	1204.84	1214.01	33127	0	24
2017.07.11	1214.01	1217.71	1208.13	1217.05	41713	0	24
2017.07.12	1217.05	1221.66	1213.39	1221.07	28795	0	24
2017.07.13	1220.60	1224.36	1216.47	1217.46	42126	0	24
2017.07.14	1217.58	1229.03	1214.73	1228.68	27837	0	24
2017.07.16	1228.70	1230.58	1228.19	1230.05	1366	0	26
2017.07.17	1230.07	1235.95	1229.30	1234.26	42378	0	24
2017.07.18	1234.26	1244.51	1232.75	1242.18	56643	0	24
2017.07.19	1242.18	1243.95	1236.92	1241.49	45594	0	24
2017.07.20	1241.51	1247.18	1235.23	1244.34	50767	0	24
2017.07.21	1244.26	1255.63	1243.33	1254.41	56473	0	24
2017.07.23	1254.89	1255.38	1253.34	1253.61	1109	0	24
2017.07.24	1253.64	1257.08	1251.86	1254.76	35541	0	24
2017.07.25	1254.75	1257.68	1249.05	1249.35	60918	0	24
2017.07.26	1249.34	1251.63	1243.69	1248.64	58834	0	24
2017.07.30	1269.98	1271.04	1269.70	1270.22	2085	0	24
2017.07.31	1270.22	1270.69	1265.70	1269.26	51863	0	24
2017.08.01	1269.25	1274.04	1262.90	1268.58	64574	0	24
2017.08.02	1268.53	1272.70	1262.81	1269.50	48707	0	24
2017.08.03	1269.12	1270.75	1267.27	1268.53	20231	0	24
2017.08.04	1268.55	1270.05	1267.21	1267.55	27444	0	24
2017.08.06	1258.64	1258.70	1256.89	1257.61	790	0	24
2017.08.07	1257.63	1259.82	1255.69	1257.94	46319	0	24
2017.08.08	1257.45	1265.12	1256.83	1261.90	36859	0	24
2017.08.09	1261.92	1278.64	1261.25	1276.73	71257	0	24
2017.08.10	1276.73	1281.82	1274.57	1281.12	24682	0	24
2017.08.11	1281.53	1291.62	1281.23	1290.41	27893	0	24
2017.08.13	1289.57	1289.79	1287.68	1288.47	1262	0	24
2017.08.14	1288.47	1289.42	1278.54	1280.72	51146	0	24
2017.08.15	1280.71	1281.15	1271.20	1271.61	38591	0	24
2017.08.16	1271.64	1283.75	1267.70	1282.69	58314	0	24
2017.08.17	1283.18	1290.06	1281.96	1288.55	76183	0	24
2017.08.18	1288.53	1291.43	1284.51	1285.53	37735	0	24
2017.08.20	1283.77	1283.89	1282.32	1282.98	1136	0	26
2017.08.21	1282.98	1293.10	1281.77	1290.46	53020	0	24
2017.08.22	1290.47	1292.49	1281.90	1283.76	50565	0	24
2017.08.23	1283.75	1291.30	1282.72	1290.60	50231	0	24
2017.08.24	1290.60	1291.10	1284.46	1285.70	56955	0	24
